model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,label13,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11,prediction12,prediction13
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,55.1,55.1,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BD,C,CD,D,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.10001962362163,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.10019623621624,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.1019623621624,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.103924724324806,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.109811810812005,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.11962362162401,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.12943543243601,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.139247243248015,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.15887086487202,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.17849448649603,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.198118108120035,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.10001962362163,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.10019623621624,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.1019623621624,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,55.1,55.102158598378644,,A,AB,ABC,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0
